product_id,product_name,product_ref,product_price,data_scrapy
1654744,Polo Ralph Lauren, Men's Hampton Relaxed Straight Jeans,$98.50,2022-04-16 18:13:16
1103208,Levi's, Men's 511™ Slim Fit Jeans,"$69.50
		                                                                                    



Sale $59.99",2022-04-16 18:13:16
9617175,Levi's, Levi’s® Flex Men's 514™ Straight-Fit Jeans,"$69.50
		                                                                                    



Sale $59.99",2022-04-16 18:13:16
6545489,Calvin Klein, Men's Slim-Fit Jeans,$79.50,2022-04-16 18:13:16
2834394,Levi's, Men's 502™ Taper Jeans,"$69.50
		                                                                                    



Sale $59.99",2022-04-16 18:13:16
11319506,Levi's, Men's 511™ Slim All Season Tech Jeans,"$69.50
		                                                                                    



Sale $59.99",2022-04-16 18:13:16
614000,Levi's, Men's 559™ Relaxed Straight Fit Jeans,"$69.50
		                                                                                    



Sale $59.99",2022-04-16 18:13:16
6698065,Tommy Jeans, Tommy Hilfiger Men's Straight-Fit Stretch Jeans,$69.50,2022-04-16 18:13:16
613981,Levi's, Men's 550™ Relaxed Fit Jeans,"$69.50
		                                                                                    



Sale $59.99",2022-04-16 18:13:16
6545481,Calvin Klein, Men's Straight-Fit Stretch Jeans,"$79.50
		                                                                                    



Sale $63.60",2022-04-16 18:13:16
612374,Levi's, Men's 505™ Regular Fit Straight Jeans,"$69.50
		                                                                                    



Sale $59.99",2022-04-16 18:13:16
1656539,Levi's, Men's 541™ Athletic Fit Jeans,"$69.50
		                                                                                    



Sale $59.99",2022-04-16 18:13:16
10514017,Levi's, Men's XX Tapered Chino Pants,"$69.50
		                                                                                    



Sale $59.99",2022-04-16 18:13:16
4760159,Nautica, Men's Stretch Straight-Leg Jeans,$44.98,2022-04-16 18:13:16
1654744,Polo Ralph Lauren, Men's Hampton Relaxed Straight Jeans,$98.50,2022-04-16 18:13:16
603963,Levi's, Men's 501 Original Fit Stretch Jeans,"$69.50
		                                                                                    



Sale $59.99",2022-04-16 18:13:16
6680016,Polo Ralph Lauren, Men's Varick Slim Straight Jeans,$98.50,2022-04-16 18:13:16
12030057,Buffalo David Bitton, Men's Straight Six Jeans,"$99.00
		                                                                                    



Sale $69.30",2022-04-16 18:13:16
1450667,Levi's, Men's 505 Regular-Fit Non-Stretch Jeans,"$69.50
		                                                                                    



Sale $59.99",2022-04-16 18:13:16
6545489,Calvin Klein, Men's Slim-Fit Jeans,$79.50,2022-04-16 18:13:16
1431681,Lucky Brand, Men's 181 Relaxed Straight Fit Jeans ,$89.50,2022-04-16 18:13:16
6720175,Tommy Jeans, Tommy Hilfiger Men's Relaxed-Fit Stretch Jeans,$69.50,2022-04-16 18:13:16
2213894,Lucky Brand, Men's 410 Athletic Slim Fit Jeans,$99.00,2022-04-16 18:13:16
7205440,Levi's, Men's 501 Original Fit Non-Stretch Jeans,"$69.50
		                                                                                    



Sale $59.99",2022-04-16 18:13:16
6531109,G-Star Raw, Men's D-Staq 5 Pocket Slim Jeans,$170.00,2022-04-16 18:13:16
8790026,Levi's, Flex Men's 511™ Slim Fit Jeans,"$69.50
		                                                                                    



Sale $59.99",2022-04-16 18:13:16
7057123,Lucky Brand, Men's 363 Straight Fit COOLMAX® Temperature-Regulating Jeans,$99.00,2022-04-16 18:13:16
11326283,Levi's, Men's 505™ Workwear Fit Jeans,"$69.50
		                                                                                    



Sale $59.99",2022-04-16 18:13:16
4760162,Nautica, Men's Stretch Relaxed-Fit Jeans ,$44.98,2022-04-16 18:13:16
1376664,Levi's, Men's 501 Original Fit Jeans,"$69.50
		                                                                                    



Sale $59.99",2022-04-16 18:13:16
6699447,Polo Ralph Lauren, Men's Sullivan Slim Stretch Jeans,$98.50,2022-04-16 18:13:16
12060417,Buffalo David Bitton, Men's Driven Relaxed Jeans,"$99.00
		                                                                                    



Sale $69.30",2022-04-16 18:13:16
10676400,INC International Concepts," Men's Grey Skinny Jeans, Created for Macy's","$69.50
		                                                                                    



Sale $52.12",2022-04-16 18:13:16
1642556,Lucky Brand, Men's 221 Original Straight Fit Jeans,$99.00,2022-04-16 18:13:16
